,",Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]"
0,"0,1376314846,4,11703.99824,10912.027692426667,93.23333333333332,67108864.0,6129274.4,0.1333333333333333,15981.6,0.0,2.1333333333333333"
1,"1,1376315146,4,11703.99824,10890.57036232,93.05,67108864.0,6755624.0,1.3333333333333333,19137.33333333333,0.0,2.6"
2,"2,1376315446,4,11703.99824,10434.11443096,89.15,67108864.0,8947846.4,2.533333333333333,19974.93333333333,535.6666666666666,23.933333333333334"
3,"3,1376315746,4,11703.99824,10539.450415120002,90.05,67108864.0,18790479.466666665,5.466666666666667,8791.8,349.6666666666667,5.466666666666667"
4,"4,1376316046,4,11703.99824,10951.041019893331,93.56666666666666,67108864.0,9305760.533333331,5.4,15679.533333333333,0.0,2.066666666666667"
5,"5,1376316346,4,11703.99824,10913.9783588,93.25,67108864.0,6352970.4,4.466666666666667,15553.733333333334,0.0,2.066666666666667"
6,"6,1376316646,4,11703.99824,10855.4583676,92.75,67108864.0,6129274.4,1.3333333333333333,19182.866666666665,0.0,2.6"
7,"7,1376316946,4,11703.99824,10157.11980594667,86.78333333333335,67108864.0,9753152.266666668,2.7333333333333334,16234.266666666666,502.6666666666667,24.466666666666665"
8,"8,1376317246,4,11703.99824,10477.029091173334,89.51666666666667,67108864.0,20937962.933333334,0.0,1.4,235.53333333333333,3.8666666666666663"
9,"9,1376317546,4,11703.99824,11128.551659866667,95.08333333333334,67108864.0,10111066.933333334,0.0,1.7333333333333334,0.0,1.3333333333333333"
10,"10,1376317846,4,11703.99824,11031.0183412,94.25,67108864.0,6308231.733333333,0.0,1.4,0.0,1.6"
11,"11,1376318146,4,11703.99824,6485.965691333334,55.41666666666667,67108864.0,11050592.533333331,2.533333333333333,10.733333333333333,719.9333333333333,21.466666666666665"
12,"12,1376318446,4,11703.99824,85.82932042666667,0.7333333333333333,67108864.0,10334763.2,0.0,1.3333333333333333,0.0,1.0"
13,"13,1376318746,4,11703.99824,70.22398944000001,0.6,67108864.0,1476393.6,0.0,1.3333333333333333,0.0,1.0"
14,"14,1376319046,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
15,"15,1376319346,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,2.2666666666666666,0.0,1.0666666666666669"
16,"16,1376319646,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
17,"17,1376319946,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
18,"18,1376320246,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,1.9333333333333331,0.0,1.0"
19,"19,1376320546,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,2.533333333333333,0.0,1.0666666666666669"
20,"20,1376320846,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
21,"21,1376321146,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
22,"22,1376321446,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
23,"23,1376321746,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
24,"24,1376322046,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.4,0.0,1.0"
25,"25,1376322346,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
26,"26,1376322647,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
27,"27,1376322947,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
28,"28,1376323247,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
29,"29,1376323547,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
30,"30,1376323847,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
31,"31,1376324147,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
32,"32,1376324447,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
33,"33,1376324747,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
34,"34,1376325047,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
35,"35,1376325347,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,2.066666666666667,0.0666666666666666,1.0666666666666669"
36,"36,1376325647,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
37,"37,1376325947,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.5333333333333334,0.0,1.0"
38,"38,1376326247,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
39,"39,1376326547,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
40,"40,1376326847,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,0.9333333333333332"
41,"41,1376327147,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.8,0.0,1.0666666666666669"
42,"42,1376327447,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
43,"43,1376327747,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
44,"44,1376328047,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
45,"45,1376328347,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
46,"46,1376328647,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
47,"47,1376328947,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
48,"48,1376329247,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
49,"49,1376329547,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
50,"50,1376329847,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
51,"51,1376330147,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.5333333333333334,0.0,1.0"
52,"52,1376330447,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,178956.8,0.0,1.3333333333333333,0.0,1.0"
53,"53,1376330747,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,134217.6,0.0,1.3333333333333333,0.0,1.0"
54,"54,1376331047,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
55,"55,1376331347,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
56,"56,1376331647,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
57,"57,1376331947,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
58,"58,1376332247,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,2.1333333333333333,0.0,1.0666666666666669"
59,"59,1376332547,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
60,"60,1376332847,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
61,"61,1376333147,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,1.8,0.0666666666666666,1.0666666666666669"
62,"62,1376333447,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
63,"63,1376333747,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
64,"64,1376334047,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
